Question,Answer
È possibile presentare domanda di Borsa di Studio ISU Bocconi se prevedo di iscrivermi al 1° anno fuori corso?,"Gli studenti che intendano iscriversi al 1° anno fuori corso possono fare domanda di borsa di Studio ISU Bocconi se risultano in possesso dei requisiti previsti dal Bando di Concorso. In tal caso, il beneficio della Borsa di Studio ISU Bocconi per gli studenti iscritti al 1° anno fuori corso è da considerarsi dimezzato, sia in termini di esonero da tasse e contributi accademici che in termini di borsa di studio in denaro."
Posso presentare domanda di Borsa di Studio ISU Bocconi se sono stato selezionato per un Double Degree?,"Se il Double Degree a cui parteciperai prevede I'iscrizione e il pagamento di tasse e contributi accademici in Bocconi per entrambi gli anni, potrai richiedere la Borsa ISU anche per l'anno svolto presso l'università partner, a meno che il Double Degree, sulla base di accordi con l'università partner, preveda l'erogazione di borse di studio a copertura di tasse e contributi Bocconi."
Posso fare domanda per i benefici del Diritto allo Studio ISU Bocconi in seguito alla rinuncia o al trasferimento da altra Università?,"Per tutte le informazioni relative alla possibilità di fare domanda di Borsa di Studio ISU Bocconi in seguito a rinuncia o trasferimento da altra Università, ti invitiamo a consultare la pagina del sito ""Regolarità accademica""."
Quali sono i requisiti economici necessari per fare domanda di Borsa di Studio ISU Bocconi?,"Per poter presentare domanda per uno dei benefici del Diritto allo Studio Universitario, gli studenti dovranno rispettare i requisiti economici stabiliti a livello regionale, al fine di dimostrare l'idoneità economico-patrimoniale. Per maggiori dettagli in merito ai requisiti economici previsti, ti invitiamo a consultare la nostra pagina ""Requisiti economici""."
Posso presentare domanda per i benefici del Diritto allo Studio ISU Bocconi in qualità di studente indipendente?,"Per tutte le informazioni in merito ai requisiti previsti per la presentazione della domanda di Borsa di Studio ISU Bocconi da parte degli studenti indipendenti, ti invitiamo a consultare la pagina del sito ""Requisiti economici""."
Per presentare domanda è necessario raggiungere un certo numero di crediti (CFU)?,"Esatto. Possono partecipare all'assegnazione del beneficio solo gli studenti che abbiano acquisito entro certe date designate i crediti previsti. Per maggiori dettagli in merito al numero di crediti richiesti e alle date di conseguimento previste, ti invitiamo a consultare la pagina dedicata ()."
"Se non possiedo i requisiti di accesso per presentare la domanda di Borsa di Studio ISU Bocconi, cosa posso fare?","Se non possiedi i requisiti necessari per fare domanda di Borsa di Studio ISU Bocconi, ti invitiamo a consultare il nostro sito alla pagina relativa alle ""Agevolazioni"" dove troverai numerose altre opportunità di sostegno economico offerte dall'Università."
Quali sono le modalità attraverso cui inoltrare la domanda?,"Per tutte le informazioni relative alle modalità e tempistiche di presentazione della domanda di Borsa di Studio ISU Bocconi, ti invitiamo a consultare la nostra pagina ""Domanda di Borsa di Studio ISU"". ()"
Quali documenti devo presentare per poter fare domanda di Borsa di Studio ISU Bocconi?,"Per tutte le informazioni relative alla documentazione completa richiesta per poter presentare domanda di Borsa di Studio ISU Bocconi, it invitiamo a consultare la pagina ""Documentazione necessaria"". ()"
I documenti necessari per ottenere l'Attestazione ISEEU Parificato sono soggetti a qualche forma di autenticazione,Tutti i documenti necessari per ottenere l'Attestazione ISEEU Parificato devono essere:
"Nella graduatoria definitiva risulto idoneo, ma non beneficiario. A cosa ho diritto?",Gli studenti risultati idonei non beneficiari in graduatoria definitiva hanno diritto a:
Nella graduatoria definitiva risulto idoneo beneficiario. A cosa ho diritto?,"In aggiunta a tutti i benefici sopraelencati, gli studenti risultati idonei beneficiari hanno inoltre diritto a una somma in denaro di importo variabile. Per maggiori dettagli relativi alla borsa di studio in denaro, ti invitiamo a consultare la pagina dedicata del nostro sito."
Sono risultato idoneo ISU. Sono tenuto al pagamento dell'acconto di prima rata?,"Tutti gli studenti, compresi quelli risultati idonei, beneficiari e non beneficiari, alla Borsa di Studio ISU Bocconi, sono tenuti al versamento dell'acconto di prima rata per perfezionare l'iscrizione all'anno accademico. L'acconto verrà poi rimborsato agli studenti idonei ISU (beneficiari e non beneficiari) entro fine dicembre sul conto corrente intestato allo studente che è stato indicato sul Punto Blu."
Ho ricevuto l'importo in denaro di 712 euro per un pasto gratuito giornaliero. Come posso spenderli?,"L'importo di 712 euro per i pasti gratuiti giornalieri viene erogato da parte dell'Università sul conto corrente degli studenti risultati idonei ISU e può essere speso materialmente per mangiare dovunque. Per usufuire di tale somma, non è dunque necessario trasferire l'importo sul tesserino Bocconi, ma è possibile spenderli come un qualsiasi altro importo in denaro. Per gli studenti idonei ISU che fossero interessati, è comunque possibile utilizzare questa somma per acquistare pasti a tariffa agevolata caricandoli sul tesserino Bocconi attraverso lo strumento on-line UbsStore, da utilizzare nei punti di ristoro previsti. Per maggiori informazioni in merito al servizio mensa a tariffa agevolata, ti invitiamo a consultare la pagina dedicata del sito."
